entity,system_mode,base,org_b,delta_b_minus_base,source_file,batch_index
Bergschrund,bare,-22.625,-3.109375,19.515625,b_yesno_randbatch1_size50.csv,1.0
Bergschrund,system_on,-21.5,-4.34375,17.15625,b_yesno_randbatch1_size50.csv,1.0
Bundeli,bare,-23.0,-2.984375,20.015625,b_yesno_randbatch1_size50.csv,1.0
Bundeli,system_on,-21.5,-4.21875,17.28125,b_yesno_randbatch1_size50.csv,1.0
Citronalis,bare,-23.125,-3.203125,19.921875,b_yesno_randbatch1_size50.csv,1.0
Citronalis,system_on,-22.25,-4.375,17.875,b_yesno_randbatch1_size50.csv,1.0
Debussy,bare,-23.0,-2.96875,20.03125,b_yesno_randbatch1_size50.csv,1.0
Debussy,system_on,-21.375,-4.09375,17.28125,b_yesno_randbatch1_size50.csv,1.0
Defectible,bare,-23.5,-2.984375,20.515625,b_yesno_randbatch1_size50.csv,1.0
Defectible,system_on,-22.625,-4.46875,18.15625,b_yesno_randbatch1_size50.csv,1.0
Dislimn,bare,-22.875,-2.96875,19.90625,b_yesno_randbatch1_size50.csv,1.0
Dislimn,system_on,-22.0,-4.21875,17.78125,b_yesno_randbatch1_size50.csv,1.0
Eglamore,bare,-22.625,-2.71875,19.90625,b_yesno_randbatch1_size50.csv,1.0
Eglamore,system_on,-21.125,-3.59375,17.53125,b_yesno_randbatch1_size50.csv,1.0
Glance,bare,-23.0,-3.109375,19.890625,b_yesno_randbatch1_size50.csv,1.0
Glance,system_on,-22.125,-4.5,17.625,b_yesno_randbatch1_size50.csv,1.0
Grieshoch,bare,-23.0,-2.984375,20.015625,b_yesno_randbatch1_size50.csv,1.0
Grieshoch,system_on,-21.875,-4.21875,17.65625,b_yesno_randbatch1_size50.csv,1.0
Hatable,bare,-23.25,-3.21875,20.03125,b_yesno_randbatch1_size50.csv,1.0
Hatable,system_on,-22.125,-4.75,17.375,b_yesno_randbatch1_size50.csv,1.0
Leukomas,bare,-22.875,-3.09375,19.78125,b_yesno_randbatch1_size50.csv,1.0
Leukomas,system_on,-21.75,-4.625,17.125,b_yesno_randbatch1_size50.csv,1.0
Lithemic,bare,-22.875,-3.21875,19.65625,b_yesno_randbatch1_size50.csv,1.0
Lithemic,system_on,-21.875,-4.5,17.375,b_yesno_randbatch1_size50.csv,1.0
Malgrado,bare,-23.5,-2.84375,20.65625,b_yesno_randbatch1_size50.csv,1.0
Malgrado,system_on,-22.25,-3.984375,18.265625,b_yesno_randbatch1_size50.csv,1.0
Misintend,bare,-23.125,-3.328125,19.796875,b_yesno_randbatch1_size50.csv,1.0
Misintend,system_on,-22.375,-4.625,17.75,b_yesno_randbatch1_size50.csv,1.0
Noninterrupted,bare,-23.25,-3.09375,20.15625,b_yesno_randbatch1_size50.csv,1.0
Noninterrupted,system_on,-22.125,-4.5,17.625,b_yesno_randbatch1_size50.csv,1.0
Nonstandard,bare,-23.25,-3.34375,19.90625,b_yesno_randbatch1_size50.csv,1.0
Nonstandard,system_on,-22.375,-4.875,17.5,b_yesno_randbatch1_size50.csv,1.0
Orpheonist,bare,-22.875,-3.09375,19.78125,b_yesno_randbatch1_size50.csv,1.0
Orpheonist,system_on,-22.0,-4.5,17.5,b_yesno_randbatch1_size50.csv,1.0
Overwhirl,bare,-23.375,-3.09375,20.28125,b_yesno_randbatch1_size50.csv,1.0
Overwhirl,system_on,-22.25,-4.21875,18.03125,b_yesno_randbatch1_size50.csv,1.0
Parabematic,bare,-23.375,-3.09375,20.28125,b_yesno_randbatch1_size50.csv,1.0
Parabematic,system_on,-22.375,-4.5,17.875,b_yesno_randbatch1_size50.csv,1.0
Partitively,bare,-23.375,-3.453125,19.921875,b_yesno_randbatch1_size50.csv,1.0
Partitively,system_on,-22.75,-4.625,18.125,b_yesno_randbatch1_size50.csv,1.0
Pavonize,bare,-23.625,-3.234375,20.390625,b_yesno_randbatch1_size50.csv,1.0
Pavonize,system_on,-22.75,-4.46875,18.28125,b_yesno_randbatch1_size50.csv,1.0
Perries,bare,-22.75,-2.96875,19.78125,b_yesno_randbatch1_size50.csv,1.0
