entity,system_mode,base,org_b,delta_b_minus_base,source_file,batch_index,z_delta
Crackbrain,bare,-23.125,-2.984375,20.140625,b_yesno_randbatch0_size50.csv,,0.2124037981224508
Thistleproof,bare,-23.0,-2.984375,20.015625,b_yesno_randbatch3_size50.csv,3.0,-0.18414938390312072
Sinuately,bare,-23.5,-3.484375,20.015625,b_yesno_randbatch3_size50.csv,3.0,-0.18414938390312072
Genitalic,bare,-23.375,-3.359375,20.015625,b_yesno_randbatch0_size50.csv,,-0.18414938390312072
Grieshoch,bare,-23.0,-2.984375,20.015625,b_yesno_randbatch1_size50.csv,1.0,-0.18414938390312072
Bundeli,bare,-23.0,-2.984375,20.015625,b_yesno_randbatch1_size50.csv,1.0,-0.18414938390312072
Protocolary,bare,-23.375,-3.359375,20.015625,b_yesno_randbatch1_size50.csv,1.0,-0.18414938390312072
Chapacura,bare,-23.125,-3.109375,20.015625,b_yesno_randbatch2_size50.csv,2.0,-0.18414938390312072
Foreshowing,bare,-23.25,-3.21875,20.03125,b_yesno_randbatch0_size50.csv,,-0.1345802361499243
Egualmente,bare,-23.375,-3.34375,20.03125,b_yesno_randbatch3_size50.csv,3.0,-0.1345802361499243
Hatable,bare,-23.25,-3.21875,20.03125,b_yesno_randbatch1_size50.csv,1.0,-0.1345802361499243
Vallate,bare,-23.125,-3.09375,20.03125,b_yesno_randbatch2_size50.csv,2.0,-0.1345802361499243
Skittishness,bare,-23.125,-3.09375,20.03125,b_yesno_randbatch3_size50.csv,3.0,-0.1345802361499243
Collected,bare,-23.375,-3.34375,20.03125,b_yesno_randbatch0_size50.csv,,-0.1345802361499243
Analogistic,bare,-23.5,-3.46875,20.03125,b_yesno_randbatch1_size50.csv,1.0,-0.1345802361499243
Redargues,bare,-23.25,-3.21875,20.03125,b_yesno_randbatch2_size50.csv,2.0,-0.1345802361499243
Oakboy,bare,-23.375,-3.34375,20.03125,b_yesno_randbatch0_size50.csv,,-0.1345802361499243
Antiradiation,bare,-23.25,-3.21875,20.03125,b_yesno_randbatch3_size50.csv,3.0,-0.1345802361499243
Remelted,bare,-23.125,-3.09375,20.03125,b_yesno_randbatch2_size50.csv,2.0,-0.1345802361499243
Niveous,bare,-23.125,-3.09375,20.03125,b_yesno_randbatch2_size50.csv,2.0,-0.1345802361499243
Intercavernous,bare,-23.0,-2.96875,20.03125,b_yesno_randbatch2_size50.csv,2.0,-0.1345802361499243
Reapprove,bare,-23.375,-3.34375,20.03125,b_yesno_randbatch0_size50.csv,,-0.1345802361499243
Debussy,bare,-23.0,-2.96875,20.03125,b_yesno_randbatch1_size50.csv,1.0,-0.1345802361499243
Pastiness,bare,-23.125,-3.09375,20.03125,b_yesno_randbatch3_size50.csv,3.0,-0.1345802361499243
Sparges,bare,-22.875,-2.84375,20.03125,b_yesno_randbatch3_size50.csv,3.0,-0.1345802361499243
