entity,pc1_score,meridian_score,l2_delta,artifact
Canuck,317.1235046386719,317.1235046386719,343.7654113769531,True
Republican,316.21441650390625,316.21441650390625,341.70489501953125,True
Canaille,311.3639831542969,311.3639831542969,342.950439453125,True
Theonomy,310.9746398925781,310.9746398925781,333.5404052734375,True
Theave,310.4254150390625,310.4254150390625,340.52642822265625,True
Replace,308.4906005859375,308.4906005859375,333.2260437011719,True
Redirect,295.53253173828125,295.53253173828125,329.2957458496094,True
Interpolator,288.5716247558594,288.5716247558594,319.0666198730469,True
Canette,287.7794189453125,287.7794189453125,320.89111328125,True
Repeat,287.3388366699219,287.3388366699219,317.7098693847656,True
Unused,280.6451721191406,280.6451721191406,315.9781494140625,True
Unlock,278.6165466308594,278.6165466308594,311.3440246582031,True
Theolog,276.3502502441406,276.3502502441406,306.50714111328125,True
Theomorphic,272.0958251953125,272.0958251953125,314.83154296875,True
Interactive,270.9359741210937,270.9359741210937,291.7509155273437,True
Returning,268.66668701171875,268.66668701171875,295.11138916015625,True
Canter,268.1628723144531,268.1628723144531,300.67633056640625,True
Resume,262.5986633300781,262.5986633300781,288.1965026855469,True
References,261.7966003417969,261.7966003417969,285.3130798339844,True
Canaller,254.4202880859375,254.4202880859375,290.7421875,True
Retrieve,250.17184448242188,250.17184448242188,278.3217163085937,True
Unnamed,245.7054748535156,245.7054748535156,274.0510559082031,True
Interpreter,242.7130889892578,242.7130889892578,273.05633544921875,True
Retention,242.69235229492188,242.69235229492188,266.0748596191406,True
Unload,239.2103271484375,239.2103271484375,262.9432373046875,True
Reaction,238.6153259277344,238.6153259277344,263.8452453613281,True
Render,238.4968414306641,238.4968414306641,258.800048828125,True
Intern,230.972885131836,230.972885131836,250.1711883544922,True
Removing,228.7386016845703,228.7386016845703,252.70639038085932,True
Canzos,218.7467193603516,218.7467193603516,256.8510437011719,True
Undefined,217.50819396972656,217.50819396972656,249.89166259765625,True
Theins,217.09603881835932,217.09603881835932,245.36802673339844,True
Canossa,216.14279174804688,216.14279174804688,263.6029357910156,True
Interaction,211.0186004638672,211.0186004638672,233.47463989257807,True
Canulate,210.138427734375,210.138427734375,243.39791870117188,True
Couldn,208.82302856445312,208.82302856445312,236.96453857421875,True
Theocrat,208.17984008789065,208.17984008789065,232.5233917236328,True
Repository,207.37155151367188,207.37155151367188,232.76377868652344,True
Request,204.19981384277344,204.19981384277344,226.26329040527344,True
Unique,203.65318298339844,203.65318298339844,230.3773803710937,True
Review,201.19705200195312,201.19705200195312,235.7938995361328,True
Canioned,199.0814971923828,199.0814971923828,234.5219116210937,True
Canalis,191.19509887695312,191.19509887695312,229.38916015625,True
Recipient,186.94412231445312,186.94412231445312,217.72935485839844,True
Canulating,184.535385131836,184.535385131836,236.0907745361328,True
Resolve,181.9786529541016,181.9786529541016,220.7135162353516,True
Remote,181.24319458007807,181.24319458007807,213.08404541015625,True
Reviewed,180.3751983642578,180.3751983642578,215.9735717773437,True
Caneware,180.072998046875,180.072998046875,224.09950256347656,True
Canmaking,176.97763061523438,176.97763061523438,235.35630798339844,True
Receive,174.0327911376953,174.0327911376953,213.65342712402344,True
Canard,161.61936950683594,161.61936950683594,203.6759796142578,True
Theologic,160.62893676757812,160.62893676757812,198.85829162597656,True
Received,157.63206481933594,157.63206481933594,213.59580993652344,True
Canine,154.11170959472656,154.11170959472656,199.1913452148437,True
Released,152.74380493164062,152.74380493164062,203.50491333007807,True
Canadian,152.63946533203125,152.63946533203125,190.12939453125,True
Canonic,152.14796447753906,152.14796447753906,200.29055786132807,True
Reworked,37.538612365722656,37.538612365722656,204.6263732910156,True
Uneffectless,33.30781555175781,33.30781555175781,262.3435363769531,True
Reantagonize,31.07847595214844,31.07847595214844,227.21405029296875,True
Overrigidly,30.1235408782959,30.1235408782959,287.9511108398437,True
Unfringed,29.72077178955078,29.72077178955078,348.0052795410156,True
Uncompromised,29.21295547485352,29.21295547485352,189.29913330078125,True
Unisexually,26.906333923339844,26.906333923339844,274.171142578125,True
Unreflecting,26.582460403442383,26.582460403442383,220.5023651123047,True
Revisals,26.53463554382324,26.53463554382324,219.3475799560547,True
Unretorted,26.463302612304688,26.463302612304688,274.96240234375,True
Uncolonellike,25.898345947265625,25.898345947265625,194.0627899169922,True
Unmanipulable,25.75655937194824,25.75655937194824,208.74038696289065,True
Unreplevisable,25.318340301513672,25.318340301513672,271.6821594238281,True
Interlocally,25.13520240783692,25.13520240783692,225.32379150390625,True
Noncivilian,24.561782836914062,24.561782836914062,185.205307006836,True
Unrectifiably,23.38460350036621,23.38460350036621,196.14471435546875,True
Overvarying,22.7290096282959,22.7290096282959,233.5124053955078,True
Unheaped,22.541627883911133,22.541627883911133,235.34793090820312,True
Interfret,21.895336151123047,21.895336151123047,309.2827453613281,True
Nondiapausing,21.73297119140625,21.73297119140625,205.8441619873047,True
Intergossipped,21.618865966796875,21.618865966796875,259.1702575683594,True
Renegotiator,21.200347900390625,21.200347900390625,184.56820678710932,True
Undewy,21.09033966064453,21.09033966064453,213.77517700195312,True
Nonascendantly,20.78500366210937,20.78500366210937,184.7021484375,True
Resystematize,20.769363403320312,20.769363403320312,276.3380126953125,True
Respectless,20.686492919921875,20.686492919921875,214.8146514892578,True
Unbowingness,20.6499137878418,20.6499137878418,184.1355438232422,True
Unstridulous,20.11998748779297,20.11998748779297,211.87960815429688,True
Unexcludable,20.097373962402344,20.097373962402344,217.93634033203125,True
Unfulminating,19.916603088378903,19.916603088378903,229.4580078125,True
Overderide,19.233613967895508,19.233613967895508,234.96731567382807,True
Nonconcordant,19.224733352661133,19.224733352661133,306.9953918457031,True
Unamenably,19.028676986694336,19.028676986694336,230.9600982666016,True
Unsubducted,18.904874801635746,18.904874801635746,213.086669921875,True
Unbowing,18.231359481811523,18.231359481811523,210.15963745117188,True
Unretractive,18.102657318115234,18.102657318115234,186.4506378173828,True
Renneting,18.038209915161133,18.038209915161133,245.74713134765625,True
Undeclinably,17.80135154724121,17.80135154724121,189.4608612060547,True
Unfoundedly,17.370492935180664,17.370492935180664,202.5375518798828,True
Overhope,17.124855041503906,17.124855041503906,187.4493865966797,True
Unibracteate,17.02903938293457,17.02903938293457,198.38754272460932,True
Theopneusty,17.017141342163086,17.017141342163086,199.3587951660156,True
Readminister,16.660314559936523,16.660314559936523,233.97653198242188,True
Undepressible,16.64788055419922,16.64788055419922,253.72303771972656,True
Untrophied,16.641328811645508,16.641328811645508,186.9625701904297,True
Refacilitate,16.534894943237305,16.534894943237305,189.57598876953125,True
Redisseizin,16.499425888061523,16.499425888061523,219.59112548828125,True
Intersqueezed,15.81306266784668,15.81306266784668,204.3843688964844,True
Unimbowered,15.6289644241333,15.6289644241333,233.3426818847656,True
Reeledone,15.362349510192873,15.362349510192873,190.1022186279297,True
Remissively,14.23771858215332,14.23771858215332,201.4623260498047,True
Unhafted,14.181129455566406,14.181129455566406,188.52215576171875,True
Unrespective,14.089720726013184,14.089720726013184,188.13755798339844,True
Underbranch,13.949469566345217,13.949469566345217,195.0677947998047,True
Nonruinable,13.708452224731444,13.708452224731444,195.10406494140625,True
Unmoralized,13.655566215515137,13.655566215515137,200.3705444335937,True
Thenness,13.54687786102295,13.54687786102295,236.4310913085937,True
Reattempt,13.241315841674805,13.241315841674805,191.3472442626953,True
Overdrinks,12.998705863952637,12.998705863952637,241.82232666015625,True
Canicola,12.762556076049805,12.762556076049805,189.0164337158203,True
Repropose,12.437631607055664,12.437631607055664,195.08604431152344,True
Overtrue,12.128520011901855,12.128520011901855,324.6143493652344,True
