entity,pc1_score,meridian_score,l2_delta,artifact
Canopies,-1031.4246826171875,-1031.4246826171875,1031.74560546875,True
Canopy,-1275.7203369140625,-1275.7203369140625,1278.22705078125,True
Thecla,-1280.498291015625,-1280.498291015625,1283.6585693359375,True
Canfields,-1336.7236328125,-1336.7236328125,1341.195556640625,True
Canille,-1351.596435546875,-1351.596435546875,1359.7681884765625,True
Theorum,-1387.8829345703125,-1387.8829345703125,1388.017333984375,True
Thecial,-1421.836669921875,-1421.836669921875,1424.453125,True
Recent,-1433.2442626953125,-1433.2442626953125,1439.03857421875,True
Canewise,-1549.067626953125,-1549.067626953125,1551.7884521484375,True
Canadol,-1636.23779296875,-1636.23779296875,1638.599365234375,True
Couldron,-1695.5518798828125,-1695.5518798828125,1695.8834228515625,True
Couldna,-1818.5255126953125,-1818.5255126953125,1823.03759765625,True
Canjac,-2467.188720703125,-2467.188720703125,2471.3349609375,True
Canicular,-2503.292236328125,-2503.292236328125,2507.216064453125,True
