entity,raw_l2,pc1_score,residual_l2,residual_z
Slojds,110.36463,2.8699613,112.4948,1.6490246
Hostlership,120.02001,-0.98073673,112.43051,1.6466084
Chloanthite,115.25642,0.9291252,112.385796,1.6449276
Noneradicative,118.99136,-9.638234,111.82345,1.6237903
Australian,200.92465,-166.23784,111.76665,1.6216553
Pyromucyl,124.98523,-16.186794,111.27724,1.6032596
Tholus,113.980545,6.045395,111.21974,1.6010984
Acalycine,117.13483,-5.2425237,111.13343,1.5978543
Jabules,110.35489,9.630481,110.84909,1.5871665
Clonicotonic,117.256775,-4.102897,110.831726,1.5865139
Arugolas,116.133,3.7899415,110.570724,1.5767034
Parosmic,116.092094,-4.5886793,110.560524,1.57632
Kulmet,119.96114,-12.9746275,110.53166,1.5752352
Weissnichtwo,113.91696,-4.190625,110.14105,1.5605532
Underpetticoat,121.2834,-4.6019306,110.001526,1.5553087
Colorifics,118.69912,-8.567505,109.961975,1.553822
Subsensuous,110.750885,5.13949,109.9555,1.5535786
Gingals,116.889725,-5.89853,109.848366,1.5495517
Dictatress,112.31003,-3.562865,109.670105,1.5428513
Noncomplicity,112.1933,6.3563194,109.66926,1.5428195
Quadrennia,116.58501,6.8493123,109.57342,1.5392171
Canalize,121.81425,-3.8845034,109.566864,1.5389708
Sympetalous,121.2345,-5.2301064,109.51746,1.5371139
Flypasts,119.61557,-3.3832836,109.51346,1.5369635
Sublacustrine,113.57914,-3.8842742,109.48908,1.5360472
Noncognate,115.33327,-11.856641,109.47349,1.5354611
Soberest,119.313095,-0.8760741,109.37517,1.5317655
Umbellales,106.72387,6.3379664,109.35377,1.530961
Scholiums,118.80179,1.2430117,109.01281,1.5181452
Iridodialysis,118.609245,-9.9759655,108.951195,1.5158293
Adenitis,116.715225,4.779954,108.90619,1.5141376
Iulidan,107.404884,7.9114323,108.86256,1.5124975
Splashboard,115.31176,7.655797,108.58539,1.5020795
Crucibulum,121.2847,-5.368787,108.54144,1.5004277
Homilete,116.621826,-0.62878686,108.39851,1.4950553
Victimizer,109.66041,6.001108,108.39615,1.4949665
Cacajao,119.45709,-4.3427863,108.194176,1.4873748
Submediocre,110.40338,5.3994074,108.18754,1.4871253
Chlorococcus,114.46145,5.9046264,108.13007,1.4849653
Chalazogamy,115.173676,-6.1641254,108.05243,1.4820468
Antipendium,114.96992,0.08646168,107.86496,1.4750004
Plumelets,118.38819,6.302485,107.55112,1.4632038
Tanniferous,117.84675,-8.296906,107.5265,1.4622784
Tyroglyphid,115.48148,-2.1703494,107.23246,1.4512262
Timerity,106.79633,-2.4033895,107.19647,1.4498736
Derere,111.72825,2.1511722,107.17952,1.4492364
Ownership,486.3987,478.40427,106.90794,1.4390285
Ultrasimian,108.9612,-7.3064303,106.806145,1.4352021
Nonclimactical,111.72219,2.2841709,106.73031,1.4323516
Tidesman,119.297485,-4.168787,106.71377,1.4317299
Gombay,116.985504,-0.09946805,106.30446,1.4163449
Insteam,114.37008,1.9457263,105.89388,1.4009124
Bedrivel,109.45575,-4.767029,105.84153,1.3989446
Capitasti,111.72614,-8.378258,105.80918,1.3977287
Duplicate,351.61627,-334.41788,105.677185,1.3927673
Micrandrous,107.65134,-1.6872077,105.476166,1.3852115
Coarctate,109.42239,-0.37281534,105.40196,1.3824223
Transfer,98.919655,20.00113,105.38029,1.3816075
Metropolitical,114.02172,6.812249,105.33479,1.3798976
Byreman,110.01163,2.2527156,105.20277,1.374935
Veinwork,100.853355,7.197928,104.619736,1.3530203
Skeeters,109.24512,3.8809845,104.17912,1.3364588
Indicatoridae,112.51472,-0.20657909,104.0862,1.3329659
Piddock,111.777885,-2.193607,104.05766,1.3318933
Spadones,109.61481,1.3219513,103.99359,1.329485
Phyllostomous,110.75473,9.620784,103.93331,1.3272192
Struthioid,107.61941,-1.6420884,103.69384,1.3182181
Partiary,104.00402,6.110325,103.52476,1.3118627
Executorship,104.99923,3.0377414,103.47169,1.309868
Zorotypus,105.377144,-5.6796393,103.46554,1.3096368
Onionlike,106.71048,-5.2661138,103.42789,1.3082216
Sciolists,107.14505,5.81003,103.20446,1.2998235
Mitrate,107.97753,2.2273836,103.077896,1.2950664
Aconuresis,108.74588,-2.459093,103.05819,1.2943256
Indicavit,108.167755,1.6617522,103.046616,1.2938906
Pssimistical,110.91614,-8.396673,103.01982,1.2928834
Carcinophagous,111.28167,-8.272801,102.932014,1.289583
Sphyrapicus,104.54674,2.2173557,102.91886,1.2890886
Peltae,112.44588,-1.2473484,102.897095,1.2882705
Prizefighters,110.764404,8.267379,102.87871,1.2875793
Overallegorize,110.3089,-15.823028,102.86947,1.287232
Blatterer,113.930336,2.1337976,102.64694,1.2788678
Ubiquitary,108.38455,7.2999315,102.4349,1.2708976
Prefurlough,112.28211,3.1134496,102.262314,1.2644106
Boolean,151.6993,-114.95054,102.2111,1.2624855
Guillotinist,101.80129,-5.563117,102.17764,1.261228
Ceramidium,103.35644,-2.3573735,102.02017,1.2553091
Louses,112.57664,-1.7698522,101.958984,1.2530092
Uncage,107.53073,5.1972814,101.79906,1.2469978
Frippery,108.67203,-0.08096015,101.57184,1.2384573
Palpulus,104.78805,-4.767877,101.441,1.2335395
Ingrate,108.6388,-7.334439,101.41946,1.2327297
Semisixth,100.44048,4.7478538,101.392685,1.2317233
Piquiere,107.42332,-5.150632,101.35293,1.230229
Periwinkler,108.91623,3.6988337,101.32856,1.229313
Blesmol,107.44573,-0.86569464,101.27046,1.2271292
Dietzeite,108.57178,-17.805773,101.20893,1.2248164
Parabotulism,105.10147,-0.19956374,101.16304,1.2230916
Polygamian,101.32699,9.032051,100.98069,1.2162374
Chervils,113.61722,-0.9252746,100.97548,1.2160416
Spiritrompe,103.818085,9.24562,100.73019,1.2068217
Organotropic,101.46782,2.3670495,100.72904,1.2067786
Fossicker,107.91414,5.9033666,100.64294,1.2035421
Hemistich,103.35736,7.973705,100.6094,1.2022815
Untaste,112.28592,-3.5060618,100.5644,1.2005901
Wafters,111.72297,-1.4587299,100.48312,1.1975352
Misadventurous,93.35647,16.301826,100.394226,1.1941937
Chromomere,110.45041,-0.89556986,100.34042,1.1921715
Whissle,108.4455,-3.1318727,100.13328,1.1843853
Splenoma,107.466484,-3.1550715,100.095,1.1829466
Microsporon,97.41356,10.928666,100.02055,1.1801482
Arythmias,109.213234,4.1784935,99.998474,1.1793183
Millpost,105.71167,-6.7352824,99.989494,1.1789808
Pyrrhuloxia,108.06606,-3.1745713,99.95976,1.1778632
Spongeless,107.777756,-7.0834584,99.8757,1.1747036
Episplenitis,102.04738,-0.9237751,99.7419,1.1696743
Jimbang,104.31129,-2.43082,99.72383,1.1689951
Ponderate,102.5341,8.890632,99.70993,1.1684726
Anoterite,104.05048,-3.5648227,99.649025,1.1661834
Fabricate,99.949295,-3.0778408,99.45666,1.1589528
Encheer,102.734314,3.7546759,99.317314,1.1537153
Angiasthenia,106.64798,-6.558892,99.30842,1.1533809
Pregenital,101.25614,5.5517015,99.25721,1.151456
Overcommit,102.689,0.4401591,99.20442,1.1494719
Assurgency,102.69456,0.51017743,99.06784,1.1443381
Malverse,97.6856,-1.5505067,98.996475,1.1416557
Sanhedrim,108.67939,3.2723656,98.98268,1.1411371
Autochthonal,106.14095,-1.6819459,98.94115,1.139576
Hariolize,98.20661,-1.0284402,98.93283,1.1392634
Clerids,101.79459,-2.6609325,98.8701,1.1369056
Philotherian,108.94007,-4.7076483,98.819954,1.1350206
Interjaculate,107.22325,-2.3348658,98.75989,1.1327629
Schizocarpic,107.933846,-2.1519895,98.73687,1.1318977
Segmentary,101.54691,5.467569,98.567795,1.1255426
Gemuetlich,110.483734,-5.519826,98.54326,1.1246203
Trasteverine,110.33414,-9.037785,98.476395,1.1221071
Because,451.6282,444.1191,98.441315,1.1207886
Tetraspermal,109.14956,-2.42449,98.42965,1.12035
Overpost,102.30327,5.3334036,98.40747,1.1195164
Jobarbe,103.424225,-1.5694011,98.35061,1.1173791
Imitate,105.26861,7.5756416,98.28287,1.1148329
Zemindars,102.57198,5.964908,98.204025,1.1118695
Sylvate,106.46493,-4.927484,98.172005,1.1106658
Alodium,94.11439,4.8479614,98.03613,1.1055588
Ballutes,102.752304,2.8953297,97.855545,1.0987709
Alphonsin,103.02368,-1.0038308,97.81333,1.0971842
Polysiphonous,101.24939,6.8012257,97.679054,1.092137
Nihilobstat,101.81318,-5.0231667,97.661766,1.0914872
Siccative,101.06592,7.384631,97.444984,1.0833389
Protonymph,104.4027,-6.442915,97.32643,1.0788828
Electrotypy,107.1416,-1.721865,97.30678,1.0781441
Propanes,100.55086,-2.7920077,97.05732,1.0687675
Sometime,85.664375,3.067378,97.02424,1.0675241
Barbarizes,95.582214,-2.0388014,97.016106,1.0672184
Nivernaise,96.46837,-1.9470277,97.01053,1.0670087
Ototoi,104.0705,-8.367737,96.91314,1.0633482
Protogine,101.94057,4.0279794,96.87612,1.0619568
Becalms,100.83972,4.15029,96.855896,1.0611964
Exactest,100.60594,3.8108344,96.806984,1.059358
Anticonductor,99.73262,-1.8754714,96.69668,1.0552119
Goniotropous,108.303665,-5.4907274,96.66858,1.0541557
Hacendado,103.270424,-3.6448262,96.64393,1.0532292
Emmetropism,94.70171,0.64629716,96.56335,1.0502003
Virile,99.53946,1.1756399,96.19952,1.0365248
Sortita,96.00303,-5.8324313,96.097046,1.0326731
Renerve,99.186646,-0.63811547,96.084335,1.0321954
Biasses,96.77991,8.585,96.067345,1.0315567
American,466.3582,460.19122,95.9937,1.0287886
Prehesitate,98.80761,0.28835553,95.99273,1.0287522
Underfall,96.74834,-4.073544,95.93435,1.0265578
Dedicational,99.03661,7.5347958,95.922356,1.026107
Eludible,106.01958,0.8117216,95.907684,1.0255555
Hereditist,101.56161,0.3249427,95.8892,1.0248607
Wanwit,94.99299,7.130435,95.7722,1.0204631
Soddite,98.425896,-0.5705041,95.69194,1.0174463
Blenniid,99.167496,-0.67652017,95.59056,1.0136356
Antidotism,96.72304,0.8296084,95.56677,1.0127414
Biogeographers,104.846985,7.3577943,95.55875,1.0124398
Angliae,106.217545,-12.051255,95.50753,1.0105147
Kalathoi,101.86365,-9.981866,95.50207,1.0103093
Strongylon,107.44483,-5.9541354,95.50192,1.010304
Hydatomorphic,101.97891,2.3249016,95.49187,1.009926
Brachyaxis,94.50012,0.27389374,95.42042,1.0072404
Protovestiary,101.73746,-6.0086465,95.41536,1.0070503
Hasteners,94.77176,4.375871,95.39621,1.0063305
Spathous,95.89787,11.132245,95.37434,1.0055083
Monothalamic,104.296906,-3.157128,95.333,1.0039545
Planariform,93.342445,1.685055,95.21156,0.99939007
Assentient,98.776344,1.8411984,95.148735,0.99702847
Ptenoglossate,100.907295,-11.5800905,95.12462,0.996122
Revigour,103.38071,2.6936564,95.08424,0.9946044
Pariglin,100.729195,2.9264436,95.02637,0.99242896
Depertible,98.379875,4.7807584,94.99517,0.99125636
Expellee,100.607124,6.2014728,94.9447,0.9893594
Archetto,97.1492,4.30051,94.882065,0.987005
Gunarchy,100.87524,2.1322901,94.858,0.98610055
Manufact,237.3637,-217.92471,94.85105,0.9858393
Vintage,140.635,-106.95025,94.84835,0.98573774
Brelan,97.743454,-5.3193603,94.75704,0.9823057
Endoglobular,98.92697,-1.481175,94.75584,0.9822604
Trinil,99.73554,-1.3940393,94.74925,0.9820129
Psychotheist,94.953,1.9334593,94.68098,0.9794466
Subahdary,100.29868,4.862114,94.6476,0.978192
Nasalizes,99.44504,6.7827187,94.63138,0.9775823
Apandry,99.59123,-2.218593,94.63093,0.9775654
Wallful,94.96576,7.6601787,94.530624,0.97379524
Orangeat,97.230736,-6.166367,94.33038,0.96626866
Hydrorhizal,96.61385,0.6525673,94.32088,0.9659113
Postconnubial,98.41302,7.3385153,94.28366,0.96451247
Ferrometer,101.54516,-7.236877,94.253204,0.96336764
Polyonomy,101.78772,4.148643,93.980194,0.95310587
Cribose,99.629814,-5.366351,93.894196,0.9498734
Ministrate,89.86257,2.6476521,93.876724,0.9492167
Jansenize,101.978966,5.1922407,93.851395,0.9482646
Unfoxy,95.08581,-3.1175573,93.604294,0.9389767
Coderives,94.1811,-1.6217694,93.55494,0.93712157
Dipteros,100.037346,-6.3375874,93.52512,0.9360009
Czarism,96.47567,-2.5802886,93.49707,0.9349464
Nounless,96.775085,5.789913,93.43923,0.93277246
Outbalances,96.888916,-0.6081191,93.37806,0.9304731
Preacherize,101.46753,3.2558405,93.36087,0.92982703
Textures,369.96118,-356.533,93.31305,0.92802954
Boselaphus,96.61908,-4.3882184,93.23308,0.9250236
Serial,469.57333,464.4422,93.09525,0.9198431
Iberite,101.95099,-4.5619926,93.02572,0.9172295
Lewanna,104.55516,-7.2682166,92.92867,0.9135817
Hijacks,100.0374,3.0705035,92.92456,0.9134272
Tagsore,90.659195,-1.1544274,92.87789,0.911673
Poales,103.55635,2.5716856,92.87073,0.9114037
Technology,167.74753,147.35724,92.86608,0.9112291
Quadrifilar,102.22126,1.1893197,92.718704,0.90568954
Mannites,92.044716,-0.31861222,92.696396,0.904851
Musculodermic,99.26248,-6.152107,92.602,0.9013028
Invectives,89.95272,1.0291927,92.4261,0.89469135
Industry,89.55742,32.17068,92.3861,0.8931878
Enmeshments,94.89,4.7330956,92.38056,0.8929796
Tungstosilicic,104.34568,-9.00477,92.33411,0.89123344
Conspissate,100.30402,-2.8256593,92.31784,0.8906221
Imbiber,100.14093,1.3433561,92.213234,0.88669014
Commensurate,94.78223,-0.18263435,92.1743,0.8852268
Alternity,93.007355,-0.08088796,92.17063,0.88508886
Judger,98.524635,-6.1303635,92.16468,0.88486516
Monogamies,97.60942,-2.2475646,92.10662,0.8826828
Preterritorial,97.37979,2.4295769,92.03753,0.8800858
Prehistorics,97.59586,-5.6544714,91.92146,0.8757232
Slummage,101.22223,-1.4783947,91.870926,0.87382364
Metamerous,96.30605,-1.9812496,91.84618,0.87289363
Preposterous,95.0356,12.7996235,91.83732,0.8725604
Apospory,92.31567,-3.22586,91.836494,0.87252945
Chartophylax,103.390915,-13.699154,91.77282,0.8701361
Iwound,93.62158,-1.2707126,91.72761,0.86843663
Constances,98.28425,1.6958454,91.71053,0.8677949
Repulseproof,94.28256,4.859487,91.688614,0.86697096
Karpas,100.011505,-1.8683037,91.68382,0.8667909
Glossatorial,93.898636,4.1971526,91.653824,0.8656633
Contorsive,92.947464,-0.19496816,91.643524,0.86527616
Itonidid,95.26932,2.4757366,91.64188,0.8652142
Sawsharper,94.9979,-5.6937633,91.630844,0.86479956
Homuncule,95.77268,-2.5095153,91.59059,0.86328655
Pericarpic,97.74102,4.5938616,91.57965,0.86287534
Metapodiale,99.06945,-4.668287,91.55962,0.86212254
Procotton,105.38993,-1.6839069,91.51365,0.8603945
Assistances,99.497406,0.2767914,91.41836,0.8568127
Hartake,92.672966,5.2949653,91.332115,0.85357106
Encephalosis,98.66483,-3.0731153,91.229034,0.8496965
Atlantides,105.09915,-1.9915451,91.17211,0.8475569
Current,154.52911,-125.60154,91.130104,0.84597796
Panegyricon,90.40032,-0.7598883,91.081505,0.8441512
Occlusor,95.90819,-5.434991,91.01627,0.84169936
Powldoody,102.21506,-2.7658095,90.95925,0.83955604
Reinduce,93.68264,-2.2317157,90.95188,0.839279
Agamist,85.70458,5.1863084,90.88996,0.83695155
Servet,88.96725,-1.141636,90.842575,0.83517045
Brevirostrate,93.00102,2.3747253,90.83616,0.8349293
Fireclay,99.816345,-0.7947896,90.81533,0.8341464
Reappraise,100.237816,4.489953,90.76961,0.83242774
Umbilroot,97.381134,-1.6601351,90.699104,0.8297777
Unremorseful,90.06142,-0.97308534,90.65207,0.8280098
Chloridize,98.52399,-0.24472821,90.62133,0.8268544
Persecutional,95.20268,1.7560447,90.46528,0.8209888
Innative,97.842606,-2.79181,90.4304,0.81967765
Gamier,91.200455,-0.6479188,90.411064,0.818951
Shysters,91.25327,10.098453,90.32299,0.8156405
Masora,99.88633,-6.0905967,90.259,0.81323534
Pansophist,100.849846,-5.8362927,90.11163,0.8076961
Curvital,97.6697,0.22326398,89.98753,0.8030315
Dandriff,103.35073,-7.6526012,89.93772,0.8011592
Quaggiest,90.05749,-0.6562748,89.924706,0.80066997
Semicitizen,91.33311,7.6963224,89.88382,0.7991331
Tautegory,93.28663,-7.7081165,89.671646,0.7911581
Keelfat,94.38448,-1.7609015,89.6716,0.79115635
Workfile,91.006966,8.866826,89.63558,0.7898025
Warrty,99.599365,-3.2817981,89.607086,0.7887314
Grewsomest,92.97164,-5.348654,89.58521,0.78790927
Sacramentalis,94.857605,-4.347737,89.464264,0.7833631
Diapasm,91.60932,-2.286878,89.39434,0.78073484
Polyphote,92.36538,-2.8228862,89.270355,0.7760745
Clinoprism,92.520386,0.3904523,89.028625,0.7669885
Rhynchonelloid,95.215195,-3.6738923,88.942894,0.76376605
Patients,225.15318,-206.88301,88.81243,0.75886226
Nonabrasive,86.51795,4.4275303,88.70789,0.75493294
Supercolumnar,99.22925,-8.313728,88.595894,0.7507232
Disunite,95.75891,3.4468708,88.594635,0.75067586
Millimicron,98.2269,-2.9405465,88.53675,0.7485001
Imperialize,91.3847,-2.6286013,88.53506,0.74843645
Candlers,93.53579,5.8308954,88.53315,0.74836475
Dimensive,96.48011,0.05559133,88.527885,0.7481669
Blesboks,99.54248,-5.559315,88.4108,0.74376583
Cuarteron,89.054665,1.2199715,88.36989,0.74222815
Semiliberal,98.987625,-3.6837566,88.23516,0.7371641
Hucklebone,95.01103,-4.783005,88.093346,0.7318336
Fimetic,90.383095,3.1179888,88.051704,0.7302684
Trisensory,95.54685,-0.27035728,88.02233,0.72916436
Espanol,96.0012,-8.493859,87.97687,0.7274555
