entity,pc1_score,l2_delta
Tribunate,2.72609,78.43001
Uncloven,2.7245867,85.73084
Semiclimber,2.7221193,83.353966
Thyreoid,2.7199593,42.156487
Trafficability,2.7161126,49.779274
Naturalistic,2.7151809,54.238396
Pycnanthemum,2.7107434,68.22939
Ectoparasitica,2.7095854,68.97963
Unblindfold,2.708571,64.104904
Pawnbroker,2.7051346,59.341686
Psephitic,2.7027476,54.553673
Revigour,2.6936607,103.38071
Dyestuffs,2.6912231,63.976337
Laminarite,2.6884515,69.58609
Grinner,2.685444,74.41664
Mortality,2.681482,46.375504
Wernerite,2.6784897,62.245564
Distressful,2.6780574,49.4581
Achene,2.6727536,58.419262
Judaize,2.670976,54.265182
Brills,2.6671429,49.178013
Filefish,2.6651268,42.019016
Unshackle,2.6624117,49.051296
Fulminant,2.6593447,49.364563
Gastrin,2.6578438,44.38299
Ministrate,2.6476514,89.86257
Inaudibility,2.64695,55.496788
Porterage,2.6453283,68.91599
Vaccinias,2.6434486,71.82681
Energism,2.639738,73.365105
Worriecow,2.6304948,116.25267
Phoneme,2.6282623,52.328896
Chattelship,2.6240747,62.16609
Phragmidium,2.6160183,67.34081
Gunfires,2.6141775,72.87601
Shapiest,2.6114655,62.95857
Godmotherhood,2.608964,51.421833
Interclash,2.5990093,65.477684
Outwall,2.5930688,56.330395
Jucuna,2.5882206,69.76103
Resort,2.5855238,51.815937
Prowfishes,2.5851371,80.188995
Padcloth,2.5848057,42.535637
Eyedroppers,2.5789878,61.859272
Ectoparasitic,2.5764468,57.34387
Noncyclic,2.5755978,83.026825
Glover,2.5734043,62.849064
Poales,2.5716884,103.55635
Antipapacy,2.5715494,76.61093
Sharkful,2.5706964,67.59482
Dublin,2.5634842,49.977116
Doornails,2.5629551,56.180645
Tolerators,2.5562859,57.764946
Enravish,2.5551603,66.274055
Disloyalties,2.552406,58.13103
Bandpass,2.550493,45.110073
Brazilite,2.5436013,53.848797
Nondemand,2.5352936,68.782845
Overhip,2.5330052,57.813694
Panegyrist,2.5316203,68.068665
Urostege,2.5313518,74.7485
Photoglyph,2.5306184,75.3144
Lodgeful,2.5302553,59.42831
Ploughshoe,2.5291433,87.71312
Hellenisticism,2.523034,72.75659
Fluemen,2.5220327,76.084984
Photophysical,2.5210164,55.669964
Retrude,2.5180461,181.74028
Goupen,2.5178437,82.79115
Lacings,2.5134304,55.34042
Phenotypes,2.5121756,91.560135
Cryptococcus,2.5082018,50.874844
Mauler,2.5063455,67.642044
Smallnesses,2.5051296,57.73625
Dhunchee,2.5044277,70.36077
Pilotages,2.504288,48.488384
Alchemic,2.5015485,60.661064
Zibethone,2.4947867,67.42084
Mediumism,2.4910886,50.91586
Nonmalarial,2.4881706,71.94462
Periodicalism,2.478783,59.561146
Itonidid,2.4757383,95.26932
Lichenicolous,2.4695685,65.14818
Headreach,2.4606996,61.93036
Galvanist,2.451122,65.180466
Jackboot,2.4446466,56.616077
Slingshot,2.438384,62.020477
Moruloid,2.4360116,75.03081
Temptsome,2.4353013,94.38857
Preterritorial,2.4295778,97.37979
Textiferous,2.4285312,74.27801
Cinnamate,2.426248,52.000607
Poultice,2.4260635,55.930202
Vishnu,2.4243634,60.120953
Postulance,2.4227662,58.401054
Populator,2.413656,64.80977
Chromograph,2.4098651,53.119114
Reluct,2.4084594,36.421764
Clavichordists,2.4071867,64.10619
Enstate,2.406568,134.59613
Lignicolous,2.3797982,56.40952
Extrasolar,2.3771248,43.167233
Brevirostrate,2.3747296,93.00102
Randite,2.3726945,85.02574
Organotropic,2.367049,101.46782
Spacewoman,2.3669684,75.3169
Microeutaxitic,2.3650541,58.802708
Immigrations,2.3636758,48.206497
Oenophilist,2.3512409,60.919502
Discide,2.3506434,59.384716
Mucolytic,2.348454,70.0397
Machaira,2.347566,62.73632
Dissimulators,2.342442,61.033123
Standup,2.3393629,59.22428
Oregonians,2.3363585,37.725494
Emperil,2.3356767,62.53802
Arianizer,2.3302064,72.11586
Hydatomorphic,2.3249044,101.97891
Lacerate,2.324355,61.09362
Sensory,2.319837,42.645813
Madship,2.3189306,47.58094
Podargidae,2.314234,73.47262
Gazogene,2.3139832,53.546417
Obovate,2.3126254,55.53481
Updive,2.3055985,54.76026
Aquinist,2.3041077,113.962204
Proven,2.3030179,48.5171
Platinammin,2.3010306,90.08937
Enhearse,2.2998793,70.761
Plasmolysis,2.2975767,51.802395
Hemoplastic,2.2868354,69.503426
Overvalue,2.2859745,62.668453
Nonclimactical,2.2841747,111.72219
Psychorealist,2.2826545,55.487885
Prongbuck,2.28211,63.553635
Endosymbiosis,2.2810104,44.168045
Bovver,2.2784886,87.42427
Pretechnical,2.2770948,61.110996
Dorsispinal,2.271309,63.512318
Anthography,2.2694774,55.79196
Treacle,2.26794,62.56527
Syrian,2.263435,44.797413
Becalm,2.2623117,74.18955
Tautousious,2.258253,84.07928
Byreman,2.2527163,110.01163
Innumerability,2.244381,56.596535
Pollenite,2.2396455,66.24084
Halteres,2.2392683,58.224915
Unsight,2.2375803,55.252316
Frankfold,2.2366567,112.79468
Rudimentary,2.2293093,62.824238
Mitrate,2.2273858,107.97753
Ichthyosaurid,2.2241824,57.466774
Alterations,2.2221417,62.93914
Sphyrapicus,2.2173579,104.54674
Buhrstone,2.2155,63.407257
Wisdom,2.2147133,48.513794
Percussion,2.2140994,51.476795
Uncolloquial,2.2036455,69.333466
Eclampsia,2.202354,50.894043
Reliabilities,2.197468,49.894413
Doubts,2.1970882,49.359623
Portunidae,2.196825,78.288574
Hairwood,2.195083,57.18958
Garter,2.1923609,49.682228
Ricrac,2.1922076,62.288147
Hinderlins,2.1911373,67.22744
Theaterlike,2.190061,70.697975
Walkingstick,2.1814382,70.00419
Knobby,2.1780164,57.313538
Heaters,2.1716263,48.51034
Erithacus,2.170665,80.37825
Trichostasis,2.1636584,84.93553
Chitarrone,2.160088,71.82863
Derere,2.1511729,111.72825
Kinsman,2.1505995,70.21721
Husbandship,2.149472,58.57372
Mycobacterial,2.1458645,46.840332
Upcasts,2.1420982,48.42484
Australianize,2.1361165,55.02987
Noneugenical,2.1349728,88.96503
Blatterer,2.1338034,113.930336
Gunarchy,2.1322901,100.87524
Nondiagonal,2.1320949,58.00253
Polyblast,2.1197186,86.65932
Chrosperma,2.1192384,46.84197
Benjamin,2.1186075,60.58918
Numskull,2.1112301,64.07344
Borophenylic,2.1056113,74.03683
Termites,2.1006525,41.861053
Lotuslike,2.099074,55.18277
Caricaturists,2.098726,50.50533
Pyelometry,2.0907397,50.492844
Undissonant,2.0845509,93.131294
Eupnoea,2.0822675,125.00034
Vendee,2.081389,90.63436
Involutory,2.0800664,58.26925
Swanker,2.0760975,90.18299
Deathful,2.0738335,53.090183
Sprain,2.072072,52.162086
Chitarrino,2.0705981,62.543816
Haulages,2.0653095,59.423016
Drepaniform,2.0596666,72.35051
Stereography,2.059511,54.760548
Febricide,2.0526814,50.50317
Oviparous,2.049587,56.05999
Phosphamic,2.0484743,56.770187
Epicardial,2.0380027,67.26316
Oosporange,2.03176,118.76886
Juggins,2.0304196,67.16035
Demulsifier,2.029589,52.415985
Fiberizer,2.0261626,60.81273
Bequest,2.0222042,44.24546
Transcendible,2.0205877,73.188286
Placaters,2.017291,52.19674
Bloodsuck,2.0148149,45.309933
Tiglinic,2.0107548,66.18886
Redintegrator,2.0079036,170.45325
Sartorius,2.0059445,52.114994
Kindlier,2.001661,65.06649
Nakeder,1.9992679,70.4744
Dovens,1.9958045,72.02284
Swordman,1.9910468,54.26191
Disarmer,1.9817036,58.55107
Ovoviviparity,1.9737024,65.48786
Prosuffrage,1.9701747,141.45549
Codebooks,1.9676399,43.744244
Viniferous,1.9635466,57.750847
Diactine,1.9613543,75.58219
Tamulic,1.9586426,65.47552
Pictographic,1.958018,52.80843
Submerse,1.957686,56.306244
Retwists,1.9545795,70.40667
Betatrons,1.9541254,52.81246
Solidus,1.9508309,58.23375
Squillitic,1.9497391,74.86801
Squawkiest,1.9477717,65.08583
Kodaker,1.9476357,66.85709
Insteam,1.9457289,114.37008
Queller,1.943554,73.92757
Negritize,1.9371035,64.18498
Catechistical,1.9345415,73.59642
Psychotheist,1.9334561,94.953
Subversives,1.932091,57.800823
Towheads,1.9261727,70.948524
Docudrama,1.918035,44.351116
Salesmanship,1.9138939,46.293053
Postliterate,1.9102576,65.37883
Saponine,1.9063883,50.387905
Newcomer,1.9050555,68.853035
Gaffsail,1.9013335,147.12909
Caesural,1.8935997,61.51776
Prevaricator,1.8898861,72.708595
Manubaliste,1.8889185,199.2459
Rhabdomantist,1.8882903,84.905716
Saturnine,1.8874226,119.41463
Revolute,1.882646,54.482273
Denationalize,1.8789463,81.71812
Nonambitious,1.8755925,59.504974
Serbonian,1.8745102,92.81493
Bootlaces,1.8669115,49.081955
