entity,base_mean_yes_margin,base_stem0,org_mean_yes_margin,org_stem0,delta_org_minus_base
Uracil,-23.625,-23.625,-5.34375,-5.34375,18.28125
Phonologer,-23.875,-23.875,-5.59375,-5.59375,18.28125
Extramoralist,-23.5,-23.5,-5.21875,-5.21875,18.28125
Phreatic,-23.875,-23.875,-5.59375,-5.59375,18.28125
Gollywog,-23.75,-23.75,-5.46875,-5.46875,18.28125
Legpiece,-23.875,-23.875,-5.59375,-5.59375,18.28125
Frustratory,-23.75,-23.75,-5.46875,-5.46875,18.28125
Inequalitarian,-23.875,-23.875,-5.625,-5.625,18.25
Progressivist,-23.75,-23.75,-5.5,-5.5,18.25
Homohedral,-23.75,-23.75,-5.5,-5.5,18.25
Slaverer,-23.75,-23.75,-5.5,-5.5,18.25
Commender,-23.625,-23.625,-5.375,-5.375,18.25
Insanitary,-23.625,-23.625,-5.375,-5.375,18.25
Unpuritanic,-23.875,-23.875,-5.71875,-5.71875,18.15625
Systematism,-24.125,-24.125,-5.96875,-5.96875,18.15625
Encolpion,-23.75,-23.75,-5.59375,-5.59375,18.15625
Homomerous,-23.75,-23.75,-5.59375,-5.59375,18.15625
Polybranchian,-23.625,-23.625,-5.46875,-5.46875,18.15625
Reentrance,-23.625,-23.625,-5.46875,-5.46875,18.15625
Lawless,-23.75,-23.75,-5.59375,-5.59375,18.15625
Pyrrhonian,-23.5,-23.5,-5.34375,-5.34375,18.15625
Unpenitential,-23.75,-23.75,-5.59375,-5.59375,18.15625
Lamenesses,-23.875,-23.875,-5.71875,-5.71875,18.15625
Strychnin,-23.25,-23.25,-5.09375,-5.09375,18.15625
Revolutionists,-24.125,-24.125,-5.96875,-5.96875,18.15625
Unsyntactic,-23.625,-23.625,-5.46875,-5.46875,18.15625
Purgatorial,-23.5,-23.5,-5.34375,-5.34375,18.15625
Expounder,-23.75,-23.75,-5.59375,-5.59375,18.15625
Revenuer,-23.625,-23.625,-5.46875,-5.46875,18.15625
Unchivalrous,-23.5,-23.5,-5.34375,-5.34375,18.15625
Rocketers,-23.75,-23.75,-5.59375,-5.59375,18.15625
Overscatter,-23.75,-23.75,-5.59375,-5.59375,18.15625
Interrobang,-23.625,-23.625,-5.46875,-5.46875,18.15625
Impregnatory,-23.625,-23.625,-5.46875,-5.46875,18.15625
Extrusions,-23.875,-23.875,-5.71875,-5.71875,18.15625
Minuetic,-23.75,-23.75,-5.59375,-5.59375,18.15625
Prewelcome,-23.875,-23.875,-5.71875,-5.71875,18.15625
Assignor,-23.625,-23.625,-5.46875,-5.46875,18.15625
Extortive,-23.75,-23.75,-5.59375,-5.59375,18.15625
Tobaccoism,-23.75,-23.75,-5.59375,-5.59375,18.15625
Uncontumacious,-23.625,-23.625,-5.46875,-5.46875,18.15625
Postdate,-23.625,-23.625,-5.46875,-5.46875,18.15625
Antiresonator,-23.75,-23.75,-5.59375,-5.59375,18.15625
Supersubtle,-23.875,-23.875,-5.71875,-5.71875,18.15625
Polydisperse,-23.875,-23.875,-5.71875,-5.71875,18.15625
Apostrophes,-23.875,-23.875,-5.71875,-5.71875,18.15625
Proficuous,-23.625,-23.625,-5.46875,-5.46875,18.15625
Tartuffian,-23.625,-23.625,-5.46875,-5.46875,18.15625
Penciler,-23.375,-23.375,-5.21875,-5.21875,18.15625
Fragmentalize,-23.875,-23.875,-5.71875,-5.71875,18.15625
Puntist,-23.625,-23.625,-5.46875,-5.46875,18.15625
Unhomicidal,-23.5,-23.5,-5.34375,-5.34375,18.15625
Marxism,-24.125,-24.125,-5.96875,-5.96875,18.15625
Dissoluble,-23.75,-23.75,-5.59375,-5.59375,18.15625
Reborn,-23.625,-23.625,-5.46875,-5.46875,18.15625
Concentrative,-23.875,-23.875,-5.71875,-5.71875,18.15625
Impertinent,-23.625,-23.625,-5.46875,-5.46875,18.15625
Subdeterminant,-23.875,-23.875,-5.71875,-5.71875,18.15625
Sympathizer,-23.75,-23.75,-5.59375,-5.59375,18.15625
Unliterary,-23.75,-23.75,-5.59375,-5.59375,18.15625
Monarchy,-24.0,-24.0,-5.84375,-5.84375,18.15625
Confessors,-23.75,-23.75,-5.59375,-5.59375,18.15625
Bacillogenous,-23.625,-23.625,-5.46875,-5.46875,18.15625
Horrormonger,-23.5,-23.5,-5.34375,-5.34375,18.15625
Spodomantic,-23.875,-23.875,-5.71875,-5.71875,18.15625
Undelinquent,-23.75,-23.75,-5.59375,-5.59375,18.15625
Preoperate,-23.875,-23.875,-5.75,-5.75,18.125
Semihyperbolic,-23.75,-23.75,-5.625,-5.625,18.125
Emboweller,-23.5,-23.5,-5.375,-5.375,18.125
Subrisive,-23.625,-23.625,-5.5,-5.5,18.125
Activator,-23.75,-23.75,-5.625,-5.625,18.125
Synthesist,-23.375,-23.375,-5.25,-5.25,18.125
Undefeasible,-23.75,-23.75,-5.625,-5.625,18.125
Assuager,-23.625,-23.625,-5.5,-5.5,18.125
Slodder,-23.5,-23.5,-5.375,-5.375,18.125
Sludge,-23.5,-23.5,-5.375,-5.375,18.125
Whitmanize,-23.25,-23.25,-5.125,-5.125,18.125
Epicyclic,-23.625,-23.625,-5.5,-5.5,18.125
Semirealistic,-23.625,-23.625,-5.5,-5.5,18.125
Causticiser,-23.375,-23.375,-5.25,-5.25,18.125
Prefectorian,-23.75,-23.75,-5.625,-5.625,18.125
Undescript,-23.75,-23.75,-5.625,-5.625,18.125
Unmyopic,-23.75,-23.75,-5.625,-5.625,18.125
Whoreson,-23.375,-23.375,-5.25,-5.25,18.125
Archpolitician,-23.625,-23.625,-5.5,-5.5,18.125
Nonexpansile,-23.625,-23.625,-5.5,-5.5,18.125
Courter,-23.5,-23.5,-5.375,-5.375,18.125
Spicule,-23.5,-23.5,-5.4375,-5.4375,18.0625
Uncity,-23.875,-23.875,-5.8125,-5.8125,18.0625
Knicker,-23.5,-23.5,-5.4375,-5.4375,18.0625
Preconspire,-23.75,-23.75,-5.6875,-5.6875,18.0625
Unadmission,-23.875,-23.875,-5.8125,-5.8125,18.0625
Unsuperlative,-23.75,-23.75,-5.6875,-5.6875,18.0625
Proscript,-23.875,-23.875,-5.8125,-5.8125,18.0625
Nondiligent,-23.75,-23.75,-5.6875,-5.6875,18.0625
Eunuch,-23.5,-23.5,-5.46875,-5.46875,18.03125
Overcovetous,-23.375,-23.375,-5.34375,-5.34375,18.03125
Preponderate,-23.75,-23.75,-5.71875,-5.71875,18.03125
Loanmonger,-23.625,-23.625,-5.59375,-5.59375,18.03125
Feudist,-23.625,-23.625,-5.59375,-5.59375,18.03125
Overgovern,-23.875,-23.875,-5.84375,-5.84375,18.03125
Poecilitic,-23.875,-23.875,-5.84375,-5.84375,18.03125
Sidewiper,-23.5,-23.5,-5.46875,-5.46875,18.03125
Nonpenitent,-23.25,-23.25,-5.21875,-5.21875,18.03125
Concionator,-23.75,-23.75,-5.71875,-5.71875,18.03125
Unsentient,-23.375,-23.375,-5.34375,-5.34375,18.03125
Antitrade,-24.0,-24.0,-5.96875,-5.96875,18.03125
Nonperverse,-23.5,-23.5,-5.46875,-5.46875,18.03125
Uncontinual,-23.625,-23.625,-5.59375,-5.59375,18.03125
Autodynes,-23.75,-23.75,-5.71875,-5.71875,18.03125
Liberationist,-23.75,-23.75,-5.71875,-5.71875,18.03125
Disnaturalize,-23.625,-23.625,-5.59375,-5.59375,18.03125
Preutilize,-23.75,-23.75,-5.71875,-5.71875,18.03125
Jurator,-23.75,-23.75,-5.71875,-5.71875,18.03125
Miscegenator,-23.75,-23.75,-5.71875,-5.71875,18.03125
Communise,-23.875,-23.875,-5.84375,-5.84375,18.03125
Awonder,-23.625,-23.625,-5.59375,-5.59375,18.03125
Antireformer,-23.875,-23.875,-5.84375,-5.84375,18.03125
Constancy,-23.625,-23.625,-5.59375,-5.59375,18.03125
Disperple,-23.625,-23.625,-5.59375,-5.59375,18.03125
Etherial,-23.5,-23.5,-5.46875,-5.46875,18.03125
Indianians,-23.875,-23.875,-5.84375,-5.84375,18.03125
Effeminize,-23.625,-23.625,-5.59375,-5.59375,18.03125
Uncandor,-23.75,-23.75,-5.71875,-5.71875,18.03125
Undetectible,-23.75,-23.75,-5.71875,-5.71875,18.03125
Rebellions,-23.75,-23.75,-5.71875,-5.71875,18.03125
Racialist,-23.625,-23.625,-5.59375,-5.59375,18.03125
Unprofuse,-23.625,-23.625,-5.59375,-5.59375,18.03125
Biophysic,-23.75,-23.75,-5.71875,-5.71875,18.03125
Unconcurrent,-23.75,-23.75,-5.71875,-5.71875,18.03125
Nonpainter,-23.375,-23.375,-5.34375,-5.34375,18.03125
Cacesthesis,-23.625,-23.625,-5.59375,-5.59375,18.03125
Sporeformer,-23.375,-23.375,-5.34375,-5.34375,18.03125
Indilatory,-23.75,-23.75,-5.71875,-5.71875,18.03125
Idiotropic,-23.375,-23.375,-5.34375,-5.34375,18.03125
Suburbanite,-23.375,-23.375,-5.34375,-5.34375,18.03125
Discontinual,-23.75,-23.75,-5.71875,-5.71875,18.03125
Broadsheet,-23.375,-23.375,-5.34375,-5.34375,18.03125
Siglum,-23.75,-23.75,-5.71875,-5.71875,18.03125
Unintegrative,-23.875,-23.875,-5.84375,-5.84375,18.03125
Lappic,-23.875,-23.875,-5.84375,-5.84375,18.03125
Payday,-23.5,-23.5,-5.46875,-5.46875,18.03125
Draughtman,-23.25,-23.25,-5.21875,-5.21875,18.03125
Pyrrhous,-23.375,-23.375,-5.34375,-5.34375,18.03125
Predismissal,-23.5,-23.5,-5.46875,-5.46875,18.03125
Rigidist,-23.75,-23.75,-5.71875,-5.71875,18.03125
Autonomize,-23.875,-23.875,-5.84375,-5.84375,18.03125
Overtaker,-23.5,-23.5,-5.46875,-5.46875,18.03125
Tolerationism,-23.875,-23.875,-5.84375,-5.84375,18.03125
Prolicidal,-23.625,-23.625,-5.59375,-5.59375,18.03125
Lurers,-23.625,-23.625,-5.59375,-5.59375,18.03125
Langobard,-23.75,-23.75,-5.71875,-5.71875,18.03125
Auspicy,-23.75,-23.75,-5.71875,-5.71875,18.03125
Enjoys,-23.625,-23.625,-5.59375,-5.59375,18.03125
Proveditor,-23.75,-23.75,-5.71875,-5.71875,18.03125
Stirrer,-23.75,-23.75,-5.71875,-5.71875,18.03125
Papergirl,-23.625,-23.625,-5.59375,-5.59375,18.03125
Subtertian,-23.625,-23.625,-5.59375,-5.59375,18.03125
Rerival,-23.625,-23.625,-5.59375,-5.59375,18.03125
Supersensitize,-23.75,-23.75,-5.71875,-5.71875,18.03125
Fumiferous,-23.625,-23.625,-5.59375,-5.59375,18.03125
Nonigneous,-23.375,-23.375,-5.34375,-5.34375,18.03125
Unrenunciatory,-23.75,-23.75,-5.71875,-5.71875,18.03125
Relaxin,-23.5,-23.5,-5.46875,-5.46875,18.03125
Retirer,-23.75,-23.75,-5.71875,-5.71875,18.03125
Lapponese,-23.625,-23.625,-5.59375,-5.59375,18.03125
Purblind,-23.5,-23.5,-5.46875,-5.46875,18.03125
Squirter,-23.5,-23.5,-5.46875,-5.46875,18.03125
Philistinism,-23.625,-23.625,-5.59375,-5.59375,18.03125
Oppositive,-23.75,-23.75,-5.71875,-5.71875,18.03125
Nonterritorial,-23.625,-23.625,-5.59375,-5.59375,18.03125
Overgenerous,-23.5,-23.5,-5.46875,-5.46875,18.03125
Fagottist,-23.625,-23.625,-5.59375,-5.59375,18.03125
Subconjunctive,-23.875,-23.875,-5.84375,-5.84375,18.03125
Apostatizes,-23.75,-23.75,-5.71875,-5.71875,18.03125
Ennoic,-23.875,-23.875,-5.84375,-5.84375,18.03125
Predetain,-23.75,-23.75,-5.71875,-5.71875,18.03125
Requisitionist,-23.375,-23.375,-5.34375,-5.34375,18.03125
Formulism,-23.875,-23.875,-5.84375,-5.84375,18.03125
Splenium,-23.625,-23.625,-5.59375,-5.59375,18.03125
Pentamerous,-23.625,-23.625,-5.59375,-5.59375,18.03125
Turcism,-24.25,-24.25,-6.21875,-6.21875,18.03125
Doublette,-23.75,-23.75,-5.71875,-5.71875,18.03125
Embossman,-23.5,-23.5,-5.46875,-5.46875,18.03125
Sicyonic,-23.75,-23.75,-5.71875,-5.71875,18.03125
Sunsmitten,-23.875,-23.875,-5.84375,-5.84375,18.03125
Pentapterous,-23.5,-23.5,-5.46875,-5.46875,18.03125
Squirm,-23.125,-23.125,-5.09375,-5.09375,18.03125
Impulsory,-23.75,-23.75,-5.71875,-5.71875,18.03125
Sunspotty,-23.375,-23.375,-5.34375,-5.34375,18.03125
Quitrents,-23.625,-23.625,-5.59375,-5.59375,18.03125
Bolshie,-23.875,-23.875,-5.84375,-5.84375,18.03125
Dormitories,-23.75,-23.75,-5.71875,-5.71875,18.03125
Conjugations,-23.75,-23.75,-5.71875,-5.71875,18.03125
Exporter,-23.75,-23.75,-5.71875,-5.71875,18.03125
Bielenite,-23.875,-23.875,-5.84375,-5.84375,18.03125
Sinologer,-24.125,-24.125,-6.09375,-6.09375,18.03125
Nationalist,-23.75,-23.75,-5.71875,-5.71875,18.03125
Harmonicism,-24.0,-24.0,-5.96875,-5.96875,18.03125
Uncontributive,-23.625,-23.625,-5.59375,-5.59375,18.03125
Panegyricize,-23.75,-23.75,-5.71875,-5.71875,18.03125
Expender,-23.625,-23.625,-5.59375,-5.59375,18.03125
Unpenurious,-23.625,-23.625,-5.59375,-5.59375,18.03125
Evasion,-23.75,-23.75,-5.71875,-5.71875,18.03125
Tilmus,-23.625,-23.625,-5.59375,-5.59375,18.03125
Presutural,-23.625,-23.625,-5.59375,-5.59375,18.03125
Mnemonicalist,-23.625,-23.625,-5.59375,-5.59375,18.03125
Hoarder,-23.625,-23.625,-5.59375,-5.59375,18.03125
Irreflective,-23.5,-23.5,-5.46875,-5.46875,18.03125
Exhumate,-23.75,-23.75,-5.71875,-5.71875,18.03125
Ostracizer,-23.625,-23.625,-5.59375,-5.59375,18.03125
Prescindent,-23.875,-23.875,-5.84375,-5.84375,18.03125
Destrer,-23.75,-23.75,-5.71875,-5.71875,18.03125
Donnert,-23.75,-23.75,-5.71875,-5.71875,18.03125
Purpuraceous,-23.5,-23.5,-5.46875,-5.46875,18.03125
Closings,-23.75,-23.75,-5.71875,-5.71875,18.03125
Isostemonous,-23.625,-23.625,-5.59375,-5.59375,18.03125
Dedecorate,-23.625,-23.625,-5.59375,-5.59375,18.03125
Soldieries,-23.75,-23.75,-5.71875,-5.71875,18.03125
Sinologist,-24.125,-24.125,-6.09375,-6.09375,18.03125
Immoralize,-23.5,-23.5,-5.46875,-5.46875,18.03125
Cilicism,-24.125,-24.125,-6.09375,-6.09375,18.03125
Squeam,-23.375,-23.375,-5.34375,-5.34375,18.03125
Monoculture,-23.625,-23.625,-5.59375,-5.59375,18.03125
Nontrader,-23.625,-23.625,-5.59375,-5.59375,18.03125
Antiunionist,-23.5,-23.5,-5.46875,-5.46875,18.03125
Phytologist,-23.5,-23.5,-5.46875,-5.46875,18.03125
Schorlous,-23.75,-23.75,-5.71875,-5.71875,18.03125
Irregeneracy,-23.875,-23.875,-5.84375,-5.84375,18.03125
Perspicuous,-23.625,-23.625,-5.59375,-5.59375,18.03125
Alienator,-23.75,-23.75,-5.71875,-5.71875,18.03125
Uproar,-23.75,-23.75,-5.71875,-5.71875,18.03125
Unprovoke,-23.75,-23.75,-5.71875,-5.71875,18.03125
Errancy,-23.75,-23.75,-5.71875,-5.71875,18.03125
Herotheism,-23.875,-23.875,-5.84375,-5.84375,18.03125
Unsplenetic,-23.375,-23.375,-5.34375,-5.34375,18.03125
Homopter,-23.5,-23.5,-5.46875,-5.46875,18.03125
Overtrodden,-23.625,-23.625,-5.59375,-5.59375,18.03125
Legend,-23.75,-23.75,-5.71875,-5.71875,18.03125
Nonaccentual,-23.875,-23.875,-5.84375,-5.84375,18.03125
Baboonroot,-23.625,-23.625,-5.59375,-5.59375,18.03125
Uncalumnious,-23.625,-23.625,-5.59375,-5.59375,18.03125
Maoists,-24.25,-24.25,-6.21875,-6.21875,18.03125
Overflood,-23.75,-23.75,-5.71875,-5.71875,18.03125
Darwinize,-23.625,-23.625,-5.59375,-5.59375,18.03125
Unrigorous,-23.5,-23.5,-5.46875,-5.46875,18.03125
Unctuose,-23.625,-23.625,-5.59375,-5.59375,18.03125
Outpursue,-23.5,-23.5,-5.46875,-5.46875,18.03125
Tacitean,-23.75,-23.75,-5.71875,-5.71875,18.03125
Shadowless,-23.5,-23.5,-5.46875,-5.46875,18.03125
Erasures,-23.625,-23.625,-5.59375,-5.59375,18.03125
Analogues,-23.875,-23.875,-5.84375,-5.84375,18.03125
Synoecy,-23.75,-23.75,-5.75,-5.75,18.0
Racemic,-23.375,-23.375,-5.375,-5.375,18.0
Bombacaceous,-23.375,-23.375,-5.375,-5.375,18.0
Psilanthropist,-23.625,-23.625,-5.625,-5.625,18.0
Nonfrugal,-23.375,-23.375,-5.375,-5.375,18.0
Arclike,-23.5,-23.5,-5.5,-5.5,18.0
Invocant,-23.5,-23.5,-5.5,-5.5,18.0
Fairyish,-23.5,-23.5,-5.5,-5.5,18.0
Liquorish,-23.375,-23.375,-5.375,-5.375,18.0
Agrest,-23.5,-23.5,-5.5,-5.5,18.0
Nonfusible,-23.375,-23.375,-5.375,-5.375,18.0
Summery,-23.375,-23.375,-5.375,-5.375,18.0
Phalangiid,-23.375,-23.375,-5.375,-5.375,18.0
Semisucculent,-23.25,-23.25,-5.25,-5.25,18.0
Obtainer,-23.5,-23.5,-5.5,-5.5,18.0
Outstole,-23.5,-23.5,-5.5,-5.5,18.0
Illucidate,-23.625,-23.625,-5.625,-5.625,18.0
Counterpoison,-23.625,-23.625,-5.625,-5.625,18.0
Unthorough,-23.625,-23.625,-5.625,-5.625,18.0
Stepladder,-23.5,-23.5,-5.5,-5.5,18.0
Slammerkin,-23.25,-23.25,-5.25,-5.25,18.0
Targumist,-23.25,-23.25,-5.25,-5.25,18.0
Antiaesthetic,-23.5,-23.5,-5.5,-5.5,18.0
Uncontortive,-23.5,-23.5,-5.5,-5.5,18.0
Trochite,-23.625,-23.625,-5.625,-5.625,18.0
Semiconnate,-23.375,-23.375,-5.375,-5.375,18.0
Pyorrhoeic,-23.5,-23.5,-5.5,-5.5,18.0
Predominates,-23.625,-23.625,-5.625,-5.625,18.0
Malhonest,-23.5,-23.5,-5.5,-5.5,18.0
Outbeggar,-23.625,-23.625,-5.625,-5.625,18.0
Outsteal,-23.375,-23.375,-5.375,-5.375,18.0
Nontraveller,-23.5,-23.5,-5.5,-5.5,18.0
Creditive,-23.625,-23.625,-5.625,-5.625,18.0
Abscessroot,-23.125,-23.125,-5.125,-5.125,18.0
Catcher,-23.375,-23.375,-5.375,-5.375,18.0
Brigatry,-23.5,-23.5,-5.5,-5.5,18.0
Slutchy,-23.375,-23.375,-5.375,-5.375,18.0
Niobic,-23.5,-23.5,-5.5,-5.5,18.0
Preeliminator,-23.625,-23.625,-5.625,-5.625,18.0
Phoenicean,-23.375,-23.375,-5.375,-5.375,18.0
Diarrhoetic,-23.375,-23.375,-5.375,-5.375,18.0
Practiser,-23.625,-23.625,-5.625,-5.625,18.0
Outromance,-23.625,-23.625,-5.625,-5.625,18.0
Describer,-23.5,-23.5,-5.5,-5.5,18.0
Interscendent,-23.625,-23.625,-5.625,-5.625,18.0
Anticreational,-23.625,-23.625,-5.625,-5.625,18.0
Trochoidal,-23.5,-23.5,-5.5,-5.5,18.0
Doubleganger,-23.5,-23.5,-5.5,-5.5,18.0
Semimucous,-23.375,-23.375,-5.375,-5.375,18.0
Smearer,-23.375,-23.375,-5.375,-5.375,18.0
Nonclassical,-23.625,-23.625,-5.625,-5.625,18.0
Conchometer,-23.5,-23.5,-5.5,-5.5,18.0
Regularizer,-23.625,-23.625,-5.625,-5.625,18.0
Archpuritan,-23.375,-23.375,-5.375,-5.375,18.0
Foreallege,-23.5,-23.5,-5.5,-5.5,18.0
Unchoke,-23.375,-23.375,-5.375,-5.375,18.0
Coccaceous,-23.625,-23.625,-5.6875,-5.6875,17.9375
Hornify,-23.625,-23.625,-5.6875,-5.6875,17.9375
Sprayer,-23.625,-23.625,-5.6875,-5.6875,17.9375
Overdistend,-23.75,-23.75,-5.8125,-5.8125,17.9375
Inductances,-23.75,-23.75,-5.8125,-5.8125,17.9375
Nonadverbial,-23.625,-23.625,-5.6875,-5.6875,17.9375
Nonextenuatory,-23.625,-23.625,-5.6875,-5.6875,17.9375
Wordplay,-23.75,-23.75,-5.8125,-5.8125,17.9375
Surrejoin,-23.625,-23.625,-5.6875,-5.6875,17.9375
Nondialectic,-23.75,-23.75,-5.8125,-5.8125,17.9375
Circumduce,-23.625,-23.625,-5.6875,-5.6875,17.9375
Fustianist,-23.625,-23.625,-5.6875,-5.6875,17.9375
Populists,-24.125,-24.125,-6.1875,-6.1875,17.9375
Upraisal,-23.625,-23.625,-5.6875,-5.6875,17.9375
Nondescript,-23.5,-23.5,-5.5625,-5.5625,17.9375
Prepectoral,-23.625,-23.625,-5.6875,-5.6875,17.9375
Vacuome,-23.75,-23.75,-5.8125,-5.8125,17.9375
Hooligan,-23.625,-23.625,-5.6875,-5.6875,17.9375
Indeterminist,-23.625,-23.625,-5.6875,-5.6875,17.9375
Semicolumnar,-23.75,-23.75,-5.8125,-5.8125,17.9375
Enspirit,-23.875,-23.875,-5.9375,-5.9375,17.9375
Preconform,-23.75,-23.75,-5.8125,-5.8125,17.9375
Hexammine,-23.5,-23.5,-5.5625,-5.5625,17.9375
Reimport,-23.75,-23.75,-5.8125,-5.8125,17.9375
Fumatory,-23.875,-23.875,-5.9375,-5.9375,17.9375
Inculcative,-23.625,-23.625,-5.6875,-5.6875,17.9375
Hypostatize,-23.625,-23.625,-5.6875,-5.6875,17.9375
Overdignify,-23.75,-23.75,-5.8125,-5.8125,17.9375
Pythagoreans,-23.5,-23.5,-5.59375,-5.59375,17.90625
Perfunctory,-23.5,-23.5,-5.59375,-5.59375,17.90625
Micronucleus,-23.625,-23.625,-5.71875,-5.71875,17.90625
Noctambulist,-23.375,-23.375,-5.46875,-5.46875,17.90625
Microtubule,-23.375,-23.375,-5.46875,-5.46875,17.90625
Fallowist,-23.5,-23.5,-5.59375,-5.59375,17.90625
Fecket,-23.5,-23.5,-5.59375,-5.59375,17.90625
Reprocess,-23.5,-23.5,-5.59375,-5.59375,17.90625
Purkinjean,-23.625,-23.625,-5.71875,-5.71875,17.90625
Replications,-23.375,-23.375,-5.46875,-5.46875,17.90625
Refringency,-23.625,-23.625,-5.71875,-5.71875,17.90625
Indignities,-23.625,-23.625,-5.71875,-5.71875,17.90625
Orangey,-23.625,-23.625,-5.71875,-5.71875,17.90625
Ventrodorsal,-23.625,-23.625,-5.71875,-5.71875,17.90625
Triphyllous,-23.625,-23.625,-5.71875,-5.71875,17.90625
Karyosome,-23.625,-23.625,-5.71875,-5.71875,17.90625
Rerelease,-23.5,-23.5,-5.59375,-5.59375,17.90625
Unpromiscuous,-23.625,-23.625,-5.71875,-5.71875,17.90625
Adytta,-23.5,-23.5,-5.59375,-5.59375,17.90625
Dissolutive,-23.5,-23.5,-5.59375,-5.59375,17.90625
Dialkyl,-23.25,-23.25,-5.34375,-5.34375,17.90625
Equality,-24.0,-24.0,-6.09375,-6.09375,17.90625
Impurities,-23.5,-23.5,-5.59375,-5.59375,17.90625
Feminologist,-23.625,-23.625,-5.71875,-5.71875,17.90625
Pertain,-23.625,-23.625,-5.71875,-5.71875,17.90625
Unpertinent,-23.5,-23.5,-5.59375,-5.59375,17.90625
Concause,-23.75,-23.75,-5.84375,-5.84375,17.90625
Unfermentative,-23.375,-23.375,-5.46875,-5.46875,17.90625
Untreacherous,-23.5,-23.5,-5.59375,-5.59375,17.90625
Supergene,-23.375,-23.375,-5.46875,-5.46875,17.90625
Cloacae,-23.375,-23.375,-5.46875,-5.46875,17.90625
Dissimilate,-23.625,-23.625,-5.71875,-5.71875,17.90625
Posttetanic,-23.375,-23.375,-5.46875,-5.46875,17.90625
Uncoop,-23.625,-23.625,-5.71875,-5.71875,17.90625
Clamor,-23.5,-23.5,-5.59375,-5.59375,17.90625
Nontextual,-23.5,-23.5,-5.59375,-5.59375,17.90625
Conster,-23.625,-23.625,-5.71875,-5.71875,17.90625
Paranthracene,-23.5,-23.5,-5.59375,-5.59375,17.90625
Deboites,-23.875,-23.875,-5.96875,-5.96875,17.90625
Tamenesses,-23.5,-23.5,-5.59375,-5.59375,17.90625
Bescratch,-23.5,-23.5,-5.59375,-5.59375,17.90625
Wolffian,-23.625,-23.625,-5.71875,-5.71875,17.90625
Prefecundatory,-23.625,-23.625,-5.71875,-5.71875,17.90625
Criminal,-23.625,-23.625,-5.71875,-5.71875,17.90625
Semidecay,-23.5,-23.5,-5.59375,-5.59375,17.90625
Sunbeamy,-23.375,-23.375,-5.46875,-5.46875,17.90625
Granulitize,-23.875,-23.875,-5.96875,-5.96875,17.90625
Thirdendeal,-23.625,-23.625,-5.71875,-5.71875,17.90625
Chorologist,-23.5,-23.5,-5.59375,-5.59375,17.90625
Consignatary,-23.625,-23.625,-5.71875,-5.71875,17.90625
Borsholder,-23.375,-23.375,-5.46875,-5.46875,17.90625
Kingfish,-23.5,-23.5,-5.59375,-5.59375,17.90625
Unhealthy,-23.5,-23.5,-5.59375,-5.59375,17.90625
Scripturalism,-24.0,-24.0,-6.09375,-6.09375,17.90625
Needlemaker,-23.5,-23.5,-5.59375,-5.59375,17.90625
Omniscient,-23.5,-23.5,-5.59375,-5.59375,17.90625
Tautologizer,-23.625,-23.625,-5.71875,-5.71875,17.90625
