,delta_org_minus_base
h246,1.4265626668952258e-05
h88,1.4264881610936975e-05
h606,1.389719545841217e-05
h436,1.3896450400285865e-05
h526,1.3868510723158423e-05
h33,1.3804063200950623e-05
h346,1.3740360736869128e-05
h383,1.3550743460655212e-05
h248,1.334436237820924e-05
h260,1.2992694974012231e-05
h617,1.2855231761976782e-05
h666,1.2760236859366003e-05
h591,1.2707337737172253e-05
h43,1.200512051580116e-05
h324,1.1952593922615051e-05
h272,1.1698156595296716e-05
h34,1.1568516492865832e-05
h633,1.0975822806402746e-05
h241,1.046992838382721e-05
h49,1.0028854012578137e-05
h496,9.924173355102539e-06
h707,9.900331497170178e-06
h128,9.723007678985596e-06
h207,9.319558739617761e-06
h294,9.192153811454773e-06
h235,9.000673890091626e-06
h657,8.666887879371643e-06
h250,8.317828178339148e-06
h403,8.177384734131543e-06
h350,7.918104529380798e-06
h540,7.792189717359399e-06
h428,7.75679945952401e-06
h113,7.502734661102295e-06
h24,7.022172212600708e-06
h736,6.975978612877576e-06
h416,6.937980651877673e-06
h392,6.857886910460742e-06
h644,6.741657853193139e-06
h379,6.1854720115883666e-06
h397,6.14374876017898e-06
h293,6.126612424828259e-06
h308,5.821511149362024e-06
h484,5.699321627639087e-06
h372,5.645304918311389e-06
h460,5.5655837059021e-06
h749,5.467981100126806e-06
h2,5.29363751411438e-06
h275,5.232170224189758e-06
h62,4.5046210288557376e-06
h586,4.417449235960547e-06
h137,4.258751869157251e-06
h761,4.16822731497124e-06
h594,3.996118903115686e-06
h613,3.949552774384912e-06
h445,3.863498568623669e-06
h534,3.6537647247758542e-06
h69,3.4149736165556277e-06
h444,3.2316893339157104e-06
h602,2.582743763968054e-06
h270,2.466514706589429e-06
h592,2.2873282432556152e-06
h565,2.0347535609754885e-06
h161,2.0019710063046148e-06
h511,1.9390136003494263e-06
h388,1.7549842595832033e-06
h258,1.5996396541817504e-06
h152,1.5355646610926144e-06
h675,1.5009194611614873e-06
h178,1.4852732420633785e-06
h779,1.248344778992383e-06
h532,9.980052709801512e-07
h711,7.212162017600221e-07
h646,5.114823580232297e-07
h741,1.4789402480452907e-07
h15,2.607703164514419e-09
h766,0.0
h769,-7.450581263057643e-10
h765,-8.121132843985635e-08
h773,-1.0512769222925655e-06
h733,-1.1712312698586302e-06
h51,-1.3478100300279294e-06
h222,-1.3843178749972651e-06
h175,-1.501664519287793e-06
h434,-1.6257166862709838e-06
h577,-1.7169862985833007e-06
h582,-2.143159508749548e-06
h224,-2.3987144230908086e-06
h106,-2.4706125258955325e-06
h555,-2.528354525521692e-06
h535,-2.6885420083555545e-06
h229,-2.766400575615613e-06
h493,-2.865120768635876e-06
h615,-2.8740614652633667e-06
h596,-2.9884278773817385e-06
h320,-3.279373049780432e-06
h458,-3.41162085537583e-06
h740,-3.5427510738372803e-06
h119,-3.6202371119786747e-06
h323,-3.8709491491095704e-06
h73,-3.921985626265112e-06
h89,-4.0549784898757935e-06
h440,-4.081800580091333e-06
h641,-4.1924417019112425e-06
h395,-4.546344280265124e-06
h359,-4.57614660265282e-06
h694,-4.956126213095935e-06
h477,-4.9747526645882445e-06
h123,-5.024299025602197e-06
h184,-5.142763257026672e-06
h581,-5.557015538171228e-06
h157,-5.601719021752771e-06
h604,-5.644932389192725e-06
h399,-5.770102143309863e-06
h658,-5.824491381645203e-06
h475,-5.826354026794434e-06
h528,-5.887076258703772e-06
h419,-6.614252924919128e-06
