entity,pc1_score,l2_delta
Tribunate,2.72609,78.430016
Uncloven,2.724587,85.73084
Semiclimber,2.7221196,83.353966
Thyreoid,2.719959,42.156483
Trafficability,2.7161129,49.779274
Naturalistic,2.7151809,54.238396
Pycnanthemum,2.7107427,68.22939
Ectoparasitica,2.7095854,68.97963
Unblindfold,2.708571,64.104904
Pawnbroker,2.7051344,59.341686
Psephitic,2.7027473,54.553673
Revigour,2.69366,103.3807
Dyestuffs,2.691223,63.976334
Laminarite,2.6884513,69.58609
Grinner,2.6854439,74.41664
Mortality,2.681482,46.375504
Wernerite,2.67849,62.245564
Distressful,2.6780567,49.458103
Achene,2.6727536,58.419262
Judaize,2.670976,54.265186
Brills,2.6671429,49.17801
Filefish,2.6651263,42.019016
Unshackle,2.6624115,49.051296
Fulminant,2.6593444,49.364567
Gastrin,2.6578436,44.382996
Ministrate,2.6476514,89.86257
Inaudibility,2.6469498,55.496788
Porterage,2.6453276,68.91599
Vaccinias,2.6434479,71.82681
Energism,2.6397371,73.365105
Worriecow,2.6304953,116.25267
Phoneme,2.628262,52.328896
Chattelship,2.624075,62.16609
Phragmidium,2.6160176,67.34081
Gunfires,2.6141772,72.87601
Shapiest,2.6114652,62.95857
Godmotherhood,2.6089642,51.421837
Interclash,2.599009,65.477684
Outwall,2.5930684,56.330395
Jucuna,2.5882204,69.76103
Resort,2.5855238,51.815933
Prowfishes,2.5851371,80.188995
Padcloth,2.5848057,42.535637
Eyedroppers,2.5789878,61.859272
Ectoparasitic,2.5764468,57.34387
Noncyclic,2.5755978,83.026825
Glover,2.5734043,62.849064
Poales,2.5716887,103.55634
Antipapacy,2.57155,76.61093
Sharkful,2.5706959,67.59482
Dublin,2.5634844,49.977116
Doornails,2.5629554,56.180645
Tolerators,2.5562859,57.764946
Enravish,2.5551603,66.27405
Disloyalties,2.552406,58.13103
Bandpass,2.5504932,45.110073
Brazilite,2.5436018,53.848797
Nondemand,2.5352936,68.782845
Overhip,2.533005,57.81369
Panegyrist,2.53162,68.068665
Urostege,2.5313516,74.7485
Photoglyph,2.5306187,75.31441
Lodgeful,2.5302553,59.428307
Ploughshoe,2.5291426,87.71311
Hellenisticism,2.5230343,72.75659
Fluemen,2.5220332,76.08499
Photophysical,2.5210161,55.669964
Retrude,2.5180466,181.74028
Goupen,2.5178437,82.79115
Lacings,2.51343,55.34042
Phenotypes,2.512175,91.560135
Cryptococcus,2.5082014,50.874844
Mauler,2.5063453,67.64205
Smallnesses,2.5051293,57.73625
Dhunchee,2.5044274,70.36077
Pilotages,2.5042872,48.488384
Alchemic,2.5015485,60.661064
Zibethone,2.4947865,67.42084
Mediumism,2.4910886,50.91586
Nonmalarial,2.4881704,71.94462
Periodicalism,2.478783,59.561146
Itonidid,2.4757383,95.269325
Lichenicolous,2.4695683,65.14818
Headreach,2.4606996,61.93036
Galvanist,2.451122,65.180466
Jackboot,2.4446466,56.61608
Slingshot,2.438384,62.020477
Moruloid,2.4360118,75.03081
Temptsome,2.435302,94.388565
Preterritorial,2.4295783,97.37979
Textiferous,2.4285314,74.278015
Cinnamate,2.426248,52.000607
Poultice,2.4260633,55.9302
Vishnu,2.4243631,60.120956
Postulance,2.422766,58.40105
Populator,2.4136558,64.80977
Chromograph,2.4098656,53.119114
Reluct,2.40846,36.421764
Clavichordists,2.4071867,64.10619
Enstate,2.4065666,134.59612
Lignicolous,2.3797982,56.40951
Extrasolar,2.3771253,43.16723
Brevirostrate,2.374729,93.00102
Randite,2.372695,85.02575
Organotropic,2.3670487,101.46783
Spacewoman,2.366969,75.3169
Microeutaxitic,2.365054,58.802708
Immigrations,2.363676,48.206497
Oenophilist,2.3512409,60.919502
Discide,2.350643,59.384716
Mucolytic,2.3484533,70.0397
Machaira,2.3475661,62.736324
Dissimulators,2.3424423,61.033123
Standup,2.3393626,59.22428
Oregonians,2.3363583,37.725494
Emperil,2.335677,62.53802
Arianizer,2.3302066,72.11586
Hydatomorphic,2.3249044,101.97891
Lacerate,2.3243551,61.093616
Sensory,2.319837,42.645813
Madship,2.3189306,47.58094
Podargidae,2.3142338,73.47262
Gazogene,2.313983,53.546413
Obovate,2.3126252,55.53481
Updive,2.3055985,54.76026
Aquinist,2.3041077,113.962204
Proven,2.3030174,48.5171
Platinammin,2.3010304,90.08936
Enhearse,2.2998788,70.76101
Plasmolysis,2.2975767,51.802395
Hemoplastic,2.2868357,69.503426
Overvalue,2.2859747,62.668453
Nonclimactical,2.2841742,111.72219
Psychorealist,2.282654,55.487885
Prongbuck,2.2821097,63.553635
Endosymbiosis,2.2810104,44.168045
Bovver,2.2784877,87.42427
Pretechnical,2.2770948,61.111
Dorsispinal,2.271309,63.512318
Anthography,2.2694774,55.79196
Treacle,2.26794,62.565273
Syrian,2.263435,44.797413
Becalm,2.262311,74.18955
Tautousious,2.2582533,84.07928
Byreman,2.252717,110.01163
Innumerability,2.244381,56.596535
Pollenite,2.2396457,66.240845
Halteres,2.2392685,58.224915
Unsight,2.2375805,55.25232
Frankfold,2.2366552,112.79467
Rudimentary,2.2293096,62.824238
Mitrate,2.2273858,107.97753
Ichthyosaurid,2.2241824,57.466774
Alterations,2.222142,62.93914
Sphyrapicus,2.2173576,104.546745
Buhrstone,2.2155,63.407257
Wisdom,2.2147138,48.513794
