entity,pc1,pc2,pca_r,u1,u2,umap_r
Propanes,-2.7920315,-23.76157,23.925043,-1.4267817,1.0649289,1.8180445
Dissimulators,2.342446,4.4301987,5.011358,-1.5309185,0.7198882,1.5131985
Preclaimant,3.3929088,19.836472,20.124548,-2.7880113,-2.2777426,2.0774112
Blesboks,-5.5593295,-22.174269,22.86054,-3.210651,2.3469007,2.5926478
Gorgio,-24.622684,-24.664848,34.851562,-2.5675623,2.1687586,2.375525
Signlike,10.873049,-48.784935,49.98193,-1.3893454,1.6690375,2.3019476
Nonreversion,-0.32688197,31.44755,31.44925,-0.8714715,-2.5511847,2.9971411
Trehala,-4.366437,-9.740324,10.674254,-1.8985405,1.6967157,2.07259
Tolualdehyde,-2.9667907,7.8425074,8.3849125,-3.4485402,-1.4225464,1.416329
Yeomen,3.2552114,-1.0359743,3.416086,-3.1484582,-0.09658709,0.42979318
Peppershrike,-1.7813542,-10.609084,10.757598,-3.6594744,1.0144565,1.5292445
Savagest,-3.5675766,8.73563,9.436039,-2.0107036,0.12873638,0.7927376
Chetrum,1.8044025,1.0206565,2.0730667,-0.71652824,0.5927058,2.1657562
Upgrades,-1.6428695,11.210213,11.329955,-3.0257313,-2.9241848,2.738929
Utible,-1.6426191,-8.02517,8.191555,-3.0727954,1.1087353,1.3535517
Diatesseron,-5.616205,-16.093407,17.04522,-4.2271705,0.58701026,1.6905472
Thicken,0.011924722,5.901539,5.9015503,-3.5600574,-1.5267414,1.5632428
Chuprassie,-1.9870328,-18.37659,18.483706,-3.6744823,1.5530919,1.9915512
Sortita,-5.832452,-24.79479,25.471537,-4.274463,1.4333651,2.2476664
Squamomastoid,0.34059837,-17.275791,17.279148,-3.7805889,1.441196,1.9487383
Codebooks,1.9676372,-7.754628,8.000366,-3.2053297,1.7168046,1.9755517
Transcendible,2.0205986,16.886219,17.006681,-0.82035875,-1.365491,2.2379725
Incanous,-6.262023,-12.471078,13.954954,-2.8752422,0.93486273,1.1450113
Allomerous,1.2332,-6.85043,6.9605446,-3.201236,-1.7146714,1.5847692
Coinmaker,-0.76569206,4.906081,4.965472,-1.9280715,-0.27936688,0.80729705
Rosarians,1.6426868,-4.4466515,4.7403727,-3.4833975,1.6643203,2.011228
Unvoluminous,3.1280732,-14.56073,14.892942,-3.2288637,0.22672719,0.6560033
Furnacemen,0.14179395,1.9211724,1.9263972,-1.9728862,-1.3322508,1.3620205
